0,1,2,3,4,5
子,00.00 - 01.00,Жэнь-май Lu.7,Ду-май Si.3,Чонг-май Sp.4,Дай-май Gb.41
丑,01.00 - 01.30,Жэнь-май Lu.7,Ду-май Si.3,Инь-цяо Kid.6,Ян-цяо Bl.62
丑,01.30 - 03.00,Ян-вэй Th.5,Инь-вэй Hg.6,Чонг-май Sp.4,Дай-май Gb.41
寅,03.00 - 4.30,Ян-вэй Th.5,Инь-вэй Hg.6,Чонг-май Sp.4,Дай-май Gb.41
寅,04.30 - 5.00,Чонг-май Sp.4,Дай-май Gb.41,Инь-вэй Hg.6,Ян-вэй Th.5
卯,05.00 - 7.00,Чонг-май Sp.4,Дай-май Gb.41,Инь-вэй Hg.6,Ян-вэй Th.5
辰,07.00 - 7.30,Чонг-май Sp.4,Дай-май Gb.41,Инь-вэй Hg.6,Ян-вэй Th.5
辰,07.30 - 9.00,Инь-цяо Kid.6,Ян-цяо Bl.62,Инь-вэй Hg.6,Ян-вэй Th.5
巳,9.00 - 10.30,Инь-цяо Kid.6,Ян-цяо Bl.62,Ду-май Si.3,Жэнь-май Lu.7
巳,10.30 - 11.00,Ду-май Si.3,Жэнь-май Lu.7,Инь-цяо Kid.6,Ян-цяо Bl.62
午,11.00 - 13.00,Ду-май Si.3,Жэнь-май Lu.7,Инь-цяо Kid.6,Ян-цяо Bl.62
未,13.00 - 13.30,Ду-май Si.3,Жэнь-май Lu.7,Инь-цяо Kid.6,Ян-цяо Bl.62
未,13.30 - 15.00,Инь-вэй Hg.6,Ян-вэй Th.5,Чонг-май Sp.4,Дай-май Gb.41
申,15.00 - 16.30,Инь-вэй Hg.6,Ян-вэй Th.5, , 
申,16.30 - 17.00,Дай-май Gb.41,Чонг-май Sp.4, , 
酉,17.00 - 19.00,Дай-май Gb.41,Чонг-май Sp.4, , 
戌,19.00 - 19.30,Дай-май Gb.41,Чонг-май Sp.4,Инь-вэй Hg.6,Ян-вэй Th.5
戌,19.30 - 21.00,Ян-цяо Bl.62,Инь-цяо Kid.6,Инь-вэй Hg.6,Ян-вэй Th.5
亥,21.00 - 22.30,Ян-цяо Bl.62,Инь-цяо Kid.6,Ду-май Si.3,Жэнь-май Lu.7
亥,22.30 - 23.00,Жэнь-май Lu.7,Ду-май Si.3,Инь-цяо Kid.6,Ян-цяо Bl.62
子,23.00 - 00.00,Жэнь-май Lu.7,Ду-май Si.3,Инь-цяо Kid.6,Ян-цяо Bl.62
