Цзя_Цзы,инь_ян,Иероглиф,Название_Китай,Название_Русский,Название_calendar
1,ян,甲子,Цзя Цзы,Деревянная Крыса,Крыса ян дерево
2,инь,乙丑,И Чоу,Деревянный Бык,Бык инь дерево
3,ян,丙寅,Бин Инь,Огненный Тигр,Тигр ян огонь
4,инь,丁卯,Дин Мао,Огненный Кролик,Кролик инь огонь
5,ян,戊辰,У Чэнь,Земляой Дракон,Дракон ян почва
6,инь,己巳,Цзи Сы,Земляная Змея,Змея инь почва
7,ян,庚午,Гэн У,Металлическая Лошадь,Лошадь ян металл
8,инь,辛未,Синь Вэй,Металлическая Коза,Коза инь металл
9,ян,壬申,Жэнь Шэнь,Водяная Обезьяна,Обезьяна ян вода
10,инь,癸酉,Гуй Ю,Водяной Петух,Петух инь вода
11,ян,甲戌,Цзя Сюй,Деревянная Собака,Собака ян дерево
12,инь,乙亥,И Хай,Деревянная Свинья,Свинья инь дерево
13,ян,丙子,Бин Цзы,Огненная Крыса,Крыса ян огонь
14,инь,丁丑,Дин Чоу,Огненный Бык,Бык инь огонь
15,ян,戊寅,У Инь,Земляной Тигр,Тигр ян почва
16,инь,己卯,Цзи Мао,Земляной Кролик,Кролик инь почва
17,ян,庚辰,Гэн Чэнь,Металлический Дракон,Дракон ян металл
18,инь,辛巳,Синь Сы,Металлическая Змея,Змея инь металл
19,ян,壬午,Жэнь У,Водяная Лошадь,Лошадь ян вода
20,инь,癸未,Гуй Вэй,Водяная Коза,Коза инь вода
21,ян,甲申,Цзя Шэнь,Деревянная Обезьяна,Обезьяна ян дерево
22,инь,乙酉,И Ю,Деревянный Петух,Петух инь дерево
23,ян,丙戌,Бин Сюй,Огненная Собака,Собака ян огонь
24,инь,丁亥,Дин Хай,Огненная Свинья,Свинья инь огонь
25,ян,戊子,У Цзы,Земляная  Крыса,Крыса ян почва
26,инь,己丑,Цзи Чоу,Земляной Бык,Бык инь почва
27,ян,庚寅,Гэн Инь,Металлический Тигр,Тигр ян металл
28,инь,辛卯,Синь Мао,Металлический Кролик,Кролик инь металл
29,ян,壬辰,Жэнь Чэнь,Водяной Дракон,Дракон ян вода
30,инь,癸巳,Гуй Сы,Водяная Змея,Змея инь вода
31,ян,甲午,Цзя У,Деревянная Лошадь,Лошадь ян дерево
32,инь,乙未,И Вэй,Деревянная Коза,Коза инь дерево
33,ян,丙申,Бин Шэнь,Огненная Обезьяна,Обезьяна ян огонь
34,инь,丁酉,Дин Ю,Огненный Петух,Петух инь огонь
35,ян,戊戌,У Сюй,Земляная Собака,Собака ян почва
36,инь,己亥,Цзи Хай,Земляная Свинья,Свинья инь почва
37,ян,庚子,Гэн Цзы,Металлическая Крыса,Крыса ян металл
38,инь,辛丑,Синь Чоу,Металлический Бык,Бык инь металл
39,ян,壬寅,Жэнь Инь,Водяной Тигр,Тигр ян вода
40,инь,癸卯,Гуй Мао,Водяной кролик,Кролик инь вода
41,ян,甲辰,Цзя Чэнь,Деревянный Дракон,Дракон ян дерево
42,инь,乙巳,И Сы,Деревянная Змея,Змея инь дерево
43,ян,丙午,Бин У,Огненная Лошадь,Лошадь ян огонь
44,инь,丁未,Дин Вэй,Огненная Коза,Коза инь огонь
45,ян,戊申,У Шэнь,Земляная Обезьяна,Обезьяна ян почва
46,инь,己酉,Цзи Ю,Земляной Петух,Петух инь почва
47,ян,庚戌,Гэн Сюй,Металлическая Собака,Собака ян металл
48,инь,辛亥,Синь Хай,Металлическая Свинья,Свинья инь металл
49,ян,壬子,Жэнь Цзы,Водяная Крыса,Крыса ян вода
50,инь,癸丑,Гуй Чэнь,Водяной Бык,Бык инь вода
51,ян,甲寅,Цзя Инь,Деревянный Тигр,Тигр ян дерево
52,инь,乙卯,И Мао,Деревянный Кролик,Кролик инь дерево
53,ян,丙辰,Бин Чэнь,Огненный Дракон,Дракон ян огонь
54,инь,丁巳,Дин Сы,Огненная Змея,Змея инь огонь
55,ян,戊午,У У,Земляная Лошадь,Лошадь ян почва
56,инь,己未,Цзи Вэй,Земляная Коза,Коза инь почва
57,ян,庚申,Гэн Шэнь,Металлическая Обезьяна,Обезьяна ян металл
58,инь,辛酉,Синь Ю,Металлический Петух,Петух инь металл
59,ян,壬戌,Жэнь Сюй,Водяная Собака,Собака ян вода
60,инь,癸亥,Гуй Хай,Водяная Свинья,Свинья инь вода
